Health System,Hospital,State,URL,Site,Contact Info,Notes,Contacted
,SOUTHERN CRESCENT HOSPITAL FOR SPECIALTY CARE,GA,,,,,
,JASPER MEMORIAL HOSPITAL,GA,,,,,
,EMORY LONG TERM CARE,GA,,,,,
,OCHSNER MEDICAL CENTER-WEST BANK,LA,,,,,
,WEST CARROLL MEMORIAL HOSPITAL,LA,,,,,
,WK BOSSIER HEALTH CENTER,LA,,,,,
,ACADIA-ST. LANDRY HOSPITAL,LA,,,,,
,OCHSNER MEDICAL CENTER-NORTH SHORE,LA,,,,,
,JENNINGS AMERICAN LEGION HOSPITAL,LA,,,,,
,ST. MARTIN HOSPITAL,LA,,,,,
,WILLIS-KNIGHTON MEDICAL CENTER,LA,,,,,
,SACRED HEART HSPTL,WI,,,,,
,UPLAND HILLS HLTH,WI,,,,,
,RICHLAND HSPTL,WI,,,,,
,ST JOSEPHS COMMUNITY HOSPITAL OF WEST BEND INC,WI,,,,,
,THEDACARE MEDICAL CENTER WILD ROSE COM MEM HOSPITAL INC,WILD ROSE,,,,,
,MONTCLAIR HOSPITAL MEDICAL CENTER,CA,,,,,
,USC VERDUGO HILLS HOSPITAL,CA,,,,,
,CHILDRENS HEALTHCARE OF ATLANTA AT SCOTTISH RITE,GA,,,,,
,EMORY DECATUR HOSPITAL,GA,,,,,
,ROGERS MEMORIAL HOSPITAL BROWN DEER,WI,,,,,
,RIDGECREST REGIONAL HOSPITAL TRANSITIONAL CARE & REHABILITATION,CA,,,,,
,MEDSTAR WASHINGTON HOSPITAL CENTER,DC,,,,,
,GEORGE WASHINGTON UNIVERSITY HOSPITAL,DC,,,,,
,HAYWARD AREA MEMORIAL HOSPITAL,WI,,,,,
,BETHESDA HOSPITAL WEST,FL,,,,,
,BAYFRONT HEALTH BROOKSVILLE,FL,,,,,
,96TH MEDICAL GROUP-EGLIN HOSPITAL,FL,,,,,
,CHILDRENS HOSPITAL COLORADO SOUTH CAMPUS,CO,,,,,
,LARKIN COMMUNITY HOSPITAL PALM SPRINGS CAMPUS,FL,,,,,
,UF HEALTH JACKSONVILLE,FL,,,,,
,LEESBURG REHABILITATION HOSPITAL,FL,,,,,
,FRANCISCAN CHILDREN'S HOSPITAL & REHAB CENTER,MA,,,,,
,AVERA HOLY FAMILY HOSPITAL,IA,,,,,
,MERCY MEDICAL CENTER-DYERSVILLE,IA,,,,,
,FLOYD COUNTY MEMORIAL HOSPITAL,IA,,,,,
,ASPIRE HEALTH PARTNERS INC,FL,,,,,
,BAYFRONT HEALTH PUNTA GORDA,FL,,,,,
,ST JOSEPH'S HOSPITAL SOUTH,FL,,,,,
,ADVENTHEALTH WESLEY CHAPEL,FL,,,,,
,UNIVERSITY OF MIAMI HOSPITAL AND CLINICS,FL,,,,,
,NORTH TAMPA BEHAVIORAL HEALTH,FL,,,,,
,WINTER HAVEN WOMEN'S HOSPITAL,FL,,,,,
,FORT MADISON COMMUNITY HOSPITAL,IA,,,,,
,STORY COUNTY HOSPITAL NORTH,IA,,,,,
,STORY CITY MEMORIAL HOSPITAL,IA,,,,,
,TRINITY REGIONAL HOSPITAL,IA,,,,,
,HANSEN FAMILY HOSPITAL,IA,,,,,
,JONES REGIONAL MEDICAL CENTER,IA,,,,,
,PELLA REGIONAL HEALTH CENTER,IA,,,,,
,SIOUX CENTER HEALTH,IA,,,,,
,CARIBOU MEMORIAL HOSPITAL AND LIVING CENTER,ID,,,,,
,ST. LUKE'S ELMORE,ID,,,,,
,MERIDIAN SERVICES CORP,IN,,,,,
,SPAULDING HOSPITAL FOR CONTINUING MED CARE CAMBRIDGE,MA,,,,,
,WESTERN MASSACHUSETTS HOSPITAL,MA,,,,,
,ELLINWOOD DISTRICT HOSPITAL,KS,,,,,
,HORTON COMMUNITY HOSPITAL,KS,,,,,
,KINGMAN COMMUNITY HOSPITAL,KS,,,,,
,SELECT SPECIALTY HOSPITAL OF KS CITY,KS,,,,,
,STEVENS COUNTY HOSPITAL,KS,,,,,
,SUSAN B ALLEN MEMORIAL HOSPITAL,KS,,,,,
,JOHNS HOPKINS HOSPITAL,MD,,,,,
,DE QUEEN MEDICAL CENTER,AR,,,,,
,VALLEY BEHAVIORAL HEALTH SYSTEM,AR,,,,,
,HOLY FAMILY MEMORIAL INC,MANITOWOC,,,,,
,RIVENDELL BEHAVIORAL HEALTH SERVICES,AR,,,,,
,ST. BERNARDS BEHAVIORAL HEALTH,AR,,,,,
,ST. BERNARDS MEDICAL CENTER,AR,,,,,
,ASHLEY COUNTY MEDICAL CENTER,AR,,,,,
,GREAT RIVER MEDICAL CENTER,AR,,,,,
,NATIONAL PARK MEDICAL CENTER,AR,,,,,
,HOWARD YOUNG MED CTR,WOODRUFF,,,,,
,LITTLE RIVER MEMORIAL HOSPITAL,AR,,,,,
,HSHS ST CLARE MEMORIAL HOSPITAL,WI,,,,,
,MERCY ORTHOPEDIC HOSPITAL FORT SMITH,AR,,,,,
,NORTHWEST MED CENTER,AZ,,,,,
,PARKWAY REGIONAL HOSPITAL,KY,,,,,
,HARDIN MEMORIAL HOSPITAL,KY,,,,,
,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF NORTHERN KENTUCKY,KY,,,,,
,OHIO COUNTY HOSPITAL,KY,,,,,
,NORTHWEST HEALTH PHYSICIANS' SPECIALTY HOSPITAL,AR,,,,,
,ARKANSAS VALLEY REGIONAL MEDICAL CENTER,CO,,,,,
,UNIVERSITY OF COLORADO HEALTH AT MEMORIAL HOSPITAL CENTRAL,CO,,,,,
,MCLEAN HOSPITAL CORPORATION,MA,,,,,
,PAPPAS REHABILITATION HOSPITAL FOR CHILDREN,MA,,,,,
,UNIV OF MD REHABILITATION & ORTHOPAEDIC INSTITUTE,MD,,,,,
,UNIVERSITY OF M D UPPER CHESAPEAKE MEDICAL CENTER,MD,,,,,
,EDWARD MCCREADY MEMORIAL HOSPITAL,MD,,,,,
,ENCOMPASS HEALTH REHAB HOSPITAL OF SALISBURY,MD,,,,,
,NORTHERN LIGHT HEALTH,ME,,,,,
,VA MEDICAL CENTER - BATTLE CREEK,MI,,,,,
,SHERIDAN COMMUNITY HOSPITAL,MI,,,,,
,MACKINAC STRAITS HOSPITAL AND HEALTH CENTER,MI,,,,,
,PROMEDICA BIXBY HOSPITAL,MI,,,,,
,SPARROW HEALTH SYSTEM-ST LAWRENCE CAMPUS,MI,,,,,
,ASCENSION STANDISH COMMUNITY HOSPITAL,MI,,,,,
,NORTH OTTAWA COMMUNITY HOSPITAL,MI,,,,,
,STRAITH HOSPITAL FOR SPECIAL SURGERY,MI,,,,,
,OAKLAND REGIONAL HOSPITAL,MI,,,,,
,LAKELAND HOSPITAL,ST JOSEPH,,,,,
,LAKELAND HOSPITAL,NILES,,,,,
,COMMUNITY HEALTH CENTER OF BRANCH COUNTY,MI,,,,,
,BRONSON BATTLE CREEK HOSPITAL,MI,,,,,
,MEMORIAL HEALTHCARE,MI,,,,,
,HILLS & DALES GENERAL HOSPITAL,MI,,,,,
,ST JOSEPH MERCY HOSPITAL,MI,,,,,
,ST JOSEPH MERCY CHELSEA,MI,,,,,
,MCLAREN GREATER LANSING,MI,,,,,
,BEAUMONT HOSPITAL DEARBORN,MI,,,,,
,SINAI-GRACE HOSPITAL,MI,,,,,
,BEAUMONT HOSPITAL GROSSE POINTE,MI,,,,,
,HARPER UNIVERSITY HOSPITAL,MI,,,,,
,METRO HEALTH HOSPITAL,WYOMING,,,,,
,ASPIRUS IRON RIVER HOSPITAL & CLINICS,MI,,,,,
,BELL MEMORIAL HOSPITAL,MI,,,,,
,PROVIDENCE - PARK HOSPITAL,MI,,,,,
,KINDRED HOSPITAL DETROIT,MI,,,,,
,NORTH SHORE HEALTH,MN,,,,,
,MCLAREN NORTHERN MICHIGAN,MI,,,,,
,TRACE REGIONAL HOSPITAL,MS,,,,,
,ALBANY AREA HOSPITAL & MED CTR,MN,,,,,
,DEER RIVER HEALTH CARE CENTER,MN,,,,,
,ALOMERE HEALTH,MN,,,,,
,HEALTHEAST BETHESDA HOSPITAL,MN,,,,,
,HEALTHEAST ST JOHNS HOSPITAL,MN,,,,,
,LAKESIDE MEDICAL CENTER,MN,,,,,
,NORTH VALLEY HEALTH CENTER,MN,,,,,
,SANFORD MED CTR THIEF RVR FALL,MN,,,,,
,SANFORD WORTHINGTON MEDICAL CE,MN,,,,,
,WINDOM AREA HOSPITAL,MN,,,,,
,MERCY HOSPITAL JOPLIN,MO,,,,,
,KINDRED HOSPITAL - KANSAS CITY,MO,,,,,
,TWO RIVERS BEHAVIORAL HEALTH SYSTEM,MO,,,,,
,HEARTLAND BEHAVIORAL HEALTH SERVICES,MO,,,,,
,LONG TERM ACUTE CARE HOSPITAL MOSAIC LIFE CARE AT ST. JOSEPH,MO,,,,,
,MERCY HOSPITAL ST. LOUIS,MO,,,,,
,MERCY HOSPITAL SPRINGFIELD,MO,,,,,
,VA MEDICAL CENTER - JEFFERSON BARRACKS DIVISION,MO,,,,,
,GOLDEN VALLEY MEMORIAL HOSPITAL,MO,,,,,
,SWEDISH COVENANT HOSPITAL,IL,,,,,
,PINNACLE REGIONAL HOSPITAL,MO,,,,,
,SSM HEALTH DEPAUL HEALTH CENTER,MO,,,,,
,HAWTHORN CHILDREN'S PSYCHIATRIC HOSPITAL,MO,,,,,
,VERDE VALLEY MEDICAL CENTER - SEDONA CAMPUS,AZ,,,,,
,SIGNATURE PSYCHIATRIC HOSPITAL,MO,,,,,
,BILLINGS CLINIC,MT,,,,,
,BAYHEALTH HOSPITAL SUSSEX CAMPUS,DE,,,,,
,BAPTIST MEDICAL CENTER YAZOO,MS,,,,,
,FRANKLIN COUNTY MEMORIAL HOSPITAL,MS,,,,,
,TRIPLER ARMY MEDICAL CENTER,HI,,,,,
,INDIANHEAD MED CTR,WI,,,,,
,LADD MEMORIAL HOSPITAL,WI,,,,,
,LAKEVIEW SPECIALTY HOSPITAL & REHAB CENTER,WI,,,,,
,LIBERTAS GREEN BAY,WI,,,,,
,MARSHFEILD MEDICAL CENTER,WI,,,,,
,MARSHFIELD MED CENTER - RICE LAKE,WI,,,,,
,GREENWOOD LEFLORE HOSPITAL,MS,,,,,
,FIELDSTONE CENTER,MI,,,,,
,BROADWATER HEALTH CENTER,MT,,,,,
,ALLEGIANCE SPECIALTY HOSPITAL OF GREENVILLE,MS,,,,,
,CHOCTAW REGIONAL MEDICAL CENTER,MS,,,,,
,FIELD MEMORIAL COMMUNITY HOSPITAL,MS,,,,,
,HIGHLAND COMMUNITY HOSPITAL,MS,,,,,
,NOVANT HEALTH PRESPYTERIAN MEDICAL CENTER,NC,,,,,
,VIDANT BEAUFORT HOSPITAL,NC,,,,,
,VALDESE GENERAL HOSPITAL,VALDESE,,,,,
,VIDANTE EDGECOMBE HOSPITAL,NC,,,,,
,ATRIUM HEALTH UNIVERSITY,NC,,,,,
,BETSY JOHNSON HOSPITAL,NC,,,,,
,HALIFAX REGIONAL MEDICAL CENTER,NC,,,,,
,DUKE HEALTH RALEIGH HOSPITAL,NC,,,,,
,CARTERET GENERAL HOSPITAL,NC,,,,,
,FRYE REGIONAL MEDICAL CENTER,NC,,,,,
,WAKEMED CARY HOSPITAL,NC,,,,,
,RUTHERFORD HOSPITAL,RUTHERFORDTON,,,,,
,SAMPSON REGIONAL MEDICAL CENTER,NC,,,,,
,CALDWELL MEMORIAL HOSPITAL,NC,,,,,
,DAVIE COUNTY HOSPITAL,NC,,,,,
,HIGHSMITH-RAINEY MEMORIAL HOSPITAL,NC,,,,,
,LEXINGTON MEMORIAL HOSPITAL,NC,,,,,
,CAROLINA EAST HEALTH SYSTEM,NC,,,,,
,ATRIUM HEALTH STANLY,NC,,,,,
,GARRISON MEMORIAL HOSPITAL,ND,,,,,
,CHI ST ALEXIUS HEALTH TURTLE LAKE,ND,,,,,
,ALTRU REHABILITATION CENTER,ND,,,,,
,ST LUKE'S HOSPITAL,ND,,,,,
,FIRST CARE HEALTH CENTER,ND,,,,,
,NELSON COUNTY HEALTH SYSTEM,ND,,,,,
,RAULERSON HOSPITAL,FL,,,,,
,ADVENTHEALTH APOPKA,FL,,,,,
,ADAMS COUNTY REGIONAL MEDICAL CENTER,OH,,,,,
,ORLANDO VETERANS AFFAIRS MEDICAL CENTER,FL,,,,,
,ADVENTHEALTH CELEBRATION,FL,,,,,
,OSCEOLA REGIONAL MEDICAL CENTER,FL,,,,,
,CHI LISBON HEALTH,ND,,,,,
,LEESBURG REGIONAL MEDICAL CENTER,FL,,,,,
,CLEVELAND CLINIC INDIAN RIVER MEDICAL CENTER,FL,,,,,
,LARGO MEDICAL CENTER - INDIAN ROCKS,FL,,,,,
,MEASE DUNEDIN HOSPITAL,FL,,,,,
,PALMS OF PASADENA HOSPITAL,FL,,,,,
,WINDMOOR HEALTHCARE OF CLEARWATER,FL,,,,,
,ADVENTHEALTH LAKE PLACID,FL,,,,,
,HIGHLANDS REGIONAL MEDICAL CENTER,FL,,,,,
,KINDRED HOSPITAL-BAY AREA-TAMPA,FL,,,,,
,MEMORIAL HOSPITAL OF TAMPA,FL,,,,,
,OREGON STATE HOSPITAL PORTLAND,OR,,,,,
,TAMPA GENERAL HOSPITAL,FL,,,,,
,HENDRY REGIONAL MEDICAL CENTER,FL,,,,,
,NORTHEAST REHABILITATION HOSPITAL AT PEASE,NH,,,,,
,KINDRED HOSPITAL LIMA,OH,,,,,
,TAMPA COMMUNITY HOSPITAL,FL,,,,,
,COMPLEX CARE HOSPITAL AT RIDGELAKE,FL,,,,,
,SARASOTA MEMORIAL HOSPITAL,FL,,,,,
,CENTRAL FLORIDA REGIONAL HOSPITAL,FL,,,,,
,ORLANDO HEALTH SOUTH SEMINOLE HOSPITAL,FL,,,,,
,HEALTHPARK MEDICAL CENTER,FL,,,,,
,LEE MEMORIAL HOSPITAL,FL,,,,,
,HALIFAX HEALTH MEDICAL CENTER,FL,,,,,
,HALIFAX HEALTH MEDICAL CENTER- PORT ORANGE,FL,,,,,
,REGIONAL MEDICAL CENTER BAYONET POINT,FL,,,,,
,HEART OF FLORIDA REGIONAL MEDICAL CENTER,FL,,,,,
,LAKELAND REGIONAL MEDICAL CENTER,FL,,,,,
,WINTER HAVEN HOSPITAL,FL,,,,,
,CIRCLES OF CARE,FL,,,,,
,HOLMES REGIONAL MEDICAL CENTER,FL,,,,,
,PARRISH MEDICAL CENTER,FL,,,,,
,BROWARD HEALTH CORAL SPRINGS,FL,,,,,
,BROWARD HEALTH NORTH,FL,,,,,
,CLEVELAND CLINIC HOSPITAL,FL,,,,,
,FORT LAUDERDALE HOSPITAL,FL,,,,,
,KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE,FL,,,,,
,MEMORIAL HOSPITAL WEST,FL,,,,,
,MEMORIAL REGIONAL HOSPITAL,FL,,,,,
,NORTHWEST MEDICAL CENTER,FL,,,,,
,SOUTH FLORIDA STATE HOSPITAL,FL,,,,,
,ST ANTHONY'S REHABILITATION HOSPITAL,FL,,,,,
,NORTHEAST REHABILITATION HOSPITAL,NH,,,,,
,CITRUS MEMORIAL HOSPITAL,FL,,,,,
,LOWER KEYS MEDICAL CENTER,FL,,,,,
,AVENTURA HOSPITAL AND MEDICAL CENTER,FL,,,,,
,DOCTORS HOSPITAL,FL,,,,,
,HOMESTEAD HOSPITAL,FL,,,,,
,JACKSON MEMORIAL HOSPITAL,FL,,,,,
,JACKSON NORTH,FL,,,,,
,KINDRED HOSPITAL-SOUTH FLORIDA-CORAL GABLES,FL,,,,,
,ST RITA'S MEDICAL CENTER,OH,,,,,
,MOUNT SINAI MEDICAL CENTER,FL,,,,,
,NICKLAUS CHILDREN'S HOSPITAL,FL,,,,,
,WESTCHESTER GENERAL HOSPITAL,FL,,,,,
,CLEVELAND CLINIC MARTIN SOUTH,FL,,,,,
,OCALA REGIONAL MEDICAL CENTER,FL,,,,,
,THE VINES HOSPITAL,FL,,,,,
,STRINGFELLOW MEMORIAL HOSPITAL,AL,,,,,
,CLAY COUNTY HOSPITAL,AL,,,,,
,SIERRA VISTA REGIONAL HEALTH CENTER,AZ,,,,,
,PICKENS COUNTY MEDICAL CENTER,AL,,,,,
,DECATUR MORGAN WEST,DECATUR,,,,,
,PORTLAND VA MEDICAL CENTER,OR,,,,,
,JOINT TOWNSHIP DISTRICT MEMORIAL HOSPITAL,OH,,,,,
,PALO ALTO COUNTY HOSPITAL,IA,,,,,
,SAINT CLARES HOSPITAL - BOONTON TOWNSHIP CAMPUS,NJ,,,,,
,MENTAL HEALTH SERVICES FOR CLARK AND MADISON COS,OH,,,,,
,MERCY HOSPITAL CLERMONT,OH,,,,,
,BAPTIST MEDICAL CENTER EAST,AL,,,,,
,CROSSBRIDGE BEHAVIORAL HEALTH A BAPTIST SOUTH FACILITY,AL,,,,,
,SALEM REGIONAL MEDICAL CENTER,OH,,,,,
,ANTHONY M YELENCSICS COMMUNITY,NJ,,,,,
,ST. VINCENT'S BLOUNT,AL,,,,,
,SOUTH POINTE HOSPITAL,OH,,,,,
,PRATTVILLE BAPTIST HOSPITAL,AL,,,,,
,VAUGHAN REGIONAL MEDICAL CENTER-PARKWAY CAMPUS,AL,,,,,
,HILL HOSPITAL OF SUMTER COUNTY,AL,,,,,
,BURGESS MEMORIAL HOSPITAL,IA,,,,,
,SPRINGFIELD REGIONAL MEDICAL CTR-ER,OH,,,,,
,HIGHLAND SPRINGS HOSPITAL,OH,,,,,
,EUCLID HOSPITAL,OH,,,,,
,COMMUNITY MEMORIAL HOSPITAL,OH,,,,,
,MT CARMEL NEW ALBANY SURGICAL HOSPITAL,OH,,,,,
,MOUNT CARMEL ST ANN'S HOSPITAL,OH,,,,,
,MEDICAL CITY FORT WORTH,TX,,,,,
,ST. LUKES'S REGIONAL MEDICAL CENTER,IA,,,,,
,BAYSHORE MEDICAL CENTER,NJ,,,,,
,CHRISTUS SANTA ROSA HOSPITAL - NEW BRAUNFELS,TX,,,,,
,EASTERN NEW MEXICO MEDICAL CENTER,NM,,,,,
,MACON COUNTY SAMARITAN MEMORIAL HOS,MO,,,,,
,ASHLEY VALLEY MEDICAL CENTER,UT,,,,,
,BROADLAWNS MEDICAL CENTER,IA,,,,,
,MERCY FRANKLIN CENTER,IA,,,,,
,LAKE'S CROSSING CENTER,NV,,,,,
,MONTEVISTA HOSPITAL,NV,,,,,
,ST. ROSE DOMINICAN HOSPITALS - ROSE DE LIMA CAMPUS,NV,,,,,
,GENESIS MEDICAL CENTER-DAVENPORT,IA,,,,,
,LUCAS COUNTY HEALTH CENTER,IA,,,,,
,MEMORIAL HOSPITAL AND HEALTH CARE CENTER,IN,,,,,
,NORTHEASTERN CENTER,IN,,,,,
,KOSCIUSKO COMMUNITY HOSPITAL,IN,,,,,
,VALLE VISTA HEALTH SYSTEM,IN,,,,,
,MOUNTAINVIEW HOSPITAL,NV,,,,,
,ACUTE CARE SPECIALTY HOSPITAL - AULTMAN,OH,,,,,
,COMMUNITY HEART AND VASCULAR HOSPITAL,IN,,,,,
,BENNETT COUNTY HEALTH CENTER,SD,,,,,
,PLATTE HEALTH CENTER,SD,,,,,
,MADISON STATE HOSPITAL,IN,,,,,
,NORWALK HOSPITAL,CT,,,,,
,SHARON HOSPITAL,SHARON,,,,,
,AVERA HAND COUNTY MEMORIAL HOSPITAL AND CLINIC,SD,,,,,
,BHC WEST HILLS HOSPITAL,NV,,,,,
,EXCELA HEALTH FRICK HOSPITAL,PA,,,,,
,NORTHERN NEVADA MEDICAL CENTER,NV,,,,,
,SLEEPY EYE MEDICAL CENTER,MN,,,,,
,LIFECARE BEHAVIORAL HEALTH HOSPITAL,PA,,,,,
,CLARION HOSPITAL,PA,,,,,
,SCHUYLKILL MEDICAL CENTER EAST NORWEGIAN STREET,PA,,,,,
,KIRKBRIDE CENTER,PA,,,,,
,JEANES HOSPITAL,PA,,,,,
,MERCY PHILADELPHIA HOSPITAL,PA,,,,,
,PENN HIGHLANDS DUBOIS,DUBOIS,,,,,
,CHASE COUNTY COMMUNITY HOSPITAL,NE,,,,,
,CRETE AREA MEDICAL CENTER,NE,,,,,
,PROVIDENCE MEDICAL CENTER,NE,,,,,
,SIGNATURE PSYCHIATRIC HOSPITAL LIBERTY,MO,,,,,
,EVANGELICAL COMMUNITY HOSPITAL,PA,,,,,
,WILKES-BARRE GENERAL HOSPITAL,PA,,,,,
,WESTFIELD HOSPITAL,PA,,,,,
,GOOD SHEPHERD REHABILITATION HOSPITAL,PA,,,,,
,GEISINGER SHAMOKIN AREA COMMUNITY HOSPITAL,PA,,,,,
,HOLY REDEEMER HOSPITAL & MEDICAL CENTER,PA,,,,,
,POTTSTOWN MEMORIAL MEDICAL CENTER,PA,,,,,
,SUBURBAN COMMUNITY HOSPITAL,PA,,,,,
,ABINGTON MEMORIAL HOSPITAL,PA,,,,,
,ALLIED SERVICES REHABILITATION HOSPITAL,SCRANTON,,,,,
,DIVINE PROVIDENCE HOSPITAL,PA,,,,,
,FLORENCE HOSPITAL AT ANTHEM,AZ,,,,,
,JEFFERSON COMMUNITY HEALTH CENTER,NE,,,,,
,SAINT CATHERINE REGIONAL HOSPITAL,IN,,,,,
,ACUITY SPECIALTY HOSPITAL OF ARIZONA AT MESA,AZ,,,,,
,SIERRA TUCSON,TUCSON,,,,,
,HOLY SPIRIT HOSPITAL,PA,,,,,
,DELAWARE COUNTY MEMORIAL HOSPITAL,PA,,,,,
,SHRINERS HOSPITALS FOR CHILDREN - ERIE,PA,,,,,
,QUINCY MEDICAL CENTER,MA,,,,,
,REHABILITATION HOSPITAL OF FORT WAYNE GENERAL PAR,IN,,,,,
,DOUGLAS COMMUNITY HOSPITAL,DOUGLAS,,,,,
,PULASKI MEMORIAL HOSPITAL,IN,,,,,
,STURDY MEMORIAL HOSPITAL,MA,,,,,
,MORTON HOSPITAL AND MEDICAL CENTER,MA,,,,,
,MERCY HOSPITAL ANDERSON,OH,,,,,
,SAINT ANNE'S HOSPITAL,MA,,,,,
,FAIRVIEW HOSPITAL,MA,,,,,
,FALMOUTH HOSPITAL,MA,,,,,
,ST JOSEPH MEDICAL CENTER-MAIN,PA,,,,,
,ST JOSEPH'S WESTGATE MEDICAL CENTER,AZ,,,,,
,TROY COMMUNITY HOSPITAL,PA,,,,,
,NANTUCKET COTTAGE HOSPITAL,MA,,,,,
,DHHS PHS IHS TUCSON AREA IHS TUCSON,AZ,,,,,
,SGMC BERRIEN CAMPUS,GA,,,,,
,ST VINCENT SALEM HOSPITAL INC,IN,,,,,
,ST MARY MEDICAL CENTER INC,IN,,,,,
,SYCAMORE SPRINGS,IN,,,,,
,MIDTOWN MEDICAL CENTER WEST,GA,,,,,
,COLUMBUS SPECIALTY HOSPITAL,GA,,,,,
,WESTERN REGIONAL MEDICAL CENTER CANCER HOSPITAL,AZ,,,,,
,PARKVIEW ADVENTIST MEDICAL CENTER : PARKVIEW MEMORIAL HOSPITAL,ME,,,,,
,PIKE COMMUNITY HOSPITAL,OH,,,,,
,MOUNTAIN LAKES MEDICAL CENTER,GA,,,,,
,LIFEBRIGHT COMMUNITY HOSPITAL OF EARLY,GA,,,,,
,POLK MEDICAL CENTER,GA,,,,,
,SELECT SPECIALTY HOSPITAL - NORTHEAST ATLANTA,GA,,,,,
,SOUTHERN MAINE MEDICAL CENTER,ME,,,,,
,BETH ISRAEL DEACONESS MEDICAL CENTER - EAST CAMPUS,MA,,,,,
,LEWIS AND CLARK SPECIALTY HOSPITAL,SD,,,,,
,HOPI HEALTH CARE CENTER/DHHS IHS PHOENIX AREA,POLACCA,,,,,
,WHITERIVER INDIAN HOSPITAL,AZ,,,,,
,BOSTON MEDICAL CENTER - MENINO CAMPUS,MA,,,,,
,MASSACHUSETTS EYE AND EAR INFIRMARY,MA,,,,,
,BOSTON CHILDREN'S HOSPITAL,MA,,,,,
,HEALTH ALLIANCE HOSPITAL - BURBANK CAMPUS,MA,,,,,
,HEALTH ALLIANCE HOSPITAL - LEOMINSTER CAMPUS,MA,,,,,
,MELROSEWKFLD HEALTHCARE MELROSE-WAKEFIELD HOSPITAL CAMPUS,MA,,,,,
,MARLBOROUGH HOSPITAL,MA,,,,,
,METROWEST MEDICAL CENTER - FRAMINGHAM CAMPUS,MA,,,,,
,SPEARFISH REGIONAL SURGERY CENTER,SD,,,,,
,BAYSTATE MARY LANE HOSPITAL,MA,,,,,
,DUNES SURGICAL HOSPITAL,SD,,,,,
,ST VINCENT JENNINGS HOSPITAL INC,IN,,,,,
,SAME DAY SURGERY CENTER LIMITED LIABILITY PARTNERSHIP,SD,,,,,
,ST. MARY'S HEALTHCARE,NY,,,,,
,POPLAR SPRINGS HOSPITAL,VA,,,,,
,COMMUNITY HOSPITALS AND WELLNESS CENTERS MONTPELIER,OH,,,,,
,GLACIAL RIDGE HOSPITAL,MN,,,,,
,REDINGTON-FAIRVIEW GENERAL HOSPITAL,ME,,,,,
,SELECT SPECIALTY HOSPITAL - SIOUX FALLS,SD,,,,,
,MAYO CLINIC HEALTH SYS CF,MN,,,,,
,ROSEBURG VA MEDICAL CENTER,OR,,,,,
,TETON VALLEY HEALTH CARE,ID,,,,,
,INTERMOUNTAIN HOSPITAL,ID,,,,,
,ARNOT OGDEN MEDICAL CENTER,NY,,,,,
,NORTH CANYON MEDICAL CENTER,ID,,,,,
,VALOR HEALTH,ID,,,,,
,FRANKLIN COUNTY MEDICAL CENTER,ID,,,,,
,MEMORIAL HOSPITAL OF MARTINSVILLE AND HENRY COUNTY,VA,,,,,
,SENTARA WILLIAMSBURG REGIONAL MEDICAL CENTER,VA,,,,,
,DELAWARE VALLEY HOSPITAL,NY,,,,,
,INOVA MOUNT VERNON HOSPITAL,VA,,,,,
,RIVERSIDE TAPPAHANNOCK HOSPITAL,VA,,,,,
,PIEDMONT GERIATRIC HOSPITAL,VA,,,,,
,PENN HIGHLANDS CLEARFIELD,CLEARFIELD,,,,,
,BOLIVAR GENERAL HOSPITAL,TN,,,,,
,COMMONWEALTH CENTER FOR CHILDREN AND ADOLESCENTS,VA,,,,,
,LAKE CITY COMMUNITY HOSPITAL,SC,,,,,
,WILLIAMSBURG REGIONAL HOSPITAL,SC,,,,,
,BARNWELL COUNTY HOSPITAL,SC,,,,,
,MOUNT PLEASANT HOSPITAL,SC,,,,,
,SUMMERVILLE MEDICAL CENTER,SC,,,,,
,PROVIDENCE HOSPITAL,SC,,,,,
,VIBRA HOSPITAL OF CHARLESTON,SC,,,,,
,CAROLINA CENTER FOR BEHAVIORAL HEALTH,SC,,,,,
,CHEROKEE MEDICAL CENTER,SC,,,,,
,PRISMA HEALTH PATEWOOD HOSPITAL,SC,,,,,
,MEDICAL CENTER AT ELIZABETH PLACE,OH,,,,,
,GREENWOOD REGIONAL REHABILITATION HOSPITAL,SC,,,,,
,MARSHFIELD MEDICAL CENTER LADYSMITH,WI,,,,,
,HEALTHBRIDGE CHILDREN'S HOSPITAL - HOUSTON,TX,,,,,
,MCLEOD HEALTH CHERAW,SC,,,,,
,MARSHFIELD MEDICAL CTR NEILLSVILLE,WI,,,,,
,MAYO CLINIC HEALTH SYSTEM- CHIPPEWA VALLEY INC,WI,,,,,
,AKRON GENERAL MEDICAL CENTER,OH,,,,,
,MAYO CLINIC HEALTH SYSTEM-OAKRIDGE INC,OSSEO,,,,,
,CATHOLIC MEDICAL CENTER,NH,,,,,
,HAMILTON HOSPITAL,TX,,,,,
,UT HEALTH EAST TEXAS PITTSBURG,TX,,,,,
,MAYO CLINIC HEALTH SYSTEM - NORTHLAND IN BARRON,WI,,,,,
,LITTLE RIVER HEALTHCARE,TX,,,,,
,CAMC WOMEN AND CHILDREN'S HOSPITAL,WV,,,,,
,KENTUCKY RIVER MEDICAL CENTER,KY,,,,,
,ST MARGARETS HOSPITAL,IL,,,,,
