Health System,Hospital,URL
,NAPERVILLE PSYCHIATRIC VENTURES - DBA LINDEN OAKS HOSPITAL,
,MEDICAL CENTER HOSPITAL,
,ODESSA REGIONAL MEDICAL CENTER,
,NORTHSHORE UNIVERSITY HEALTHSYSTEM DBA EVANSTON HOSPITAL,
,MEDICAL CITY OF PLANO,
,EAST TEXAS MEDICAL CENTER MOUNT VERNON,
,OCHILTREE GENERAL HOSPITAL,
,THE MEDICAL CENTER OF SOUTHEAST TEXAS,
,SPRINGFIELD HOSPITAL INC - DBA LINCOLN PRAIRIE BEHAVIORAL HEALTH CENTER,
,ASCENSION SETON MEDICAL CENTER WILLIAMSON,
,SHANNON WEST TEXAS MEMORIAL HOSPITAL,
,SAN ANGELO COMMUNITY MEDICAL CENTER,
,UNIVERSITY HOSPITAL,
,METHODIST HOSPITAL,
,CHI ST LUKES HEALTH MEMORIAL SAN AUGUSTINE,
,CENTRAL TEXAS MEDICAL CENTER,
,GUADALUPE REGIONAL MEDICAL CENTER,
,SEYMOUR HOSPITAL,
,ASCENSION SETON SMITHVILLE REGIONAL HOSPITAL,
,ADVENTIST REHABILITATION HOSPITAL OF MARYLAND,
,HOLY CROSS GERMANTOWN HOSPITAL,
,ADVENTIST HEALTHCARE WASHINGTON ADVENTIST HOSPITAL,
,TEXAS HEALTH HARRIS METHODIST HOSPITAL STEPHENVILLE,
,BAYLOR SCOTT & WHITE MEDICAL CENTER - SUNNYVALE,
,BAYLOR SCOTT & WHITE MEDICAL CENTER TEMPLE,
,ST. LUKES SUGAR LAND HOSPITAL,
,MARY HITCHCOCK MEMORIAL HOSPITAL,
,CHRISTUS ST. MICHAEL HEALTH SYSTEM,
,CHRISTUS MOTHER FRANCES HOSPITAL - TYLER,
,UT HEALTH EAST TEXAS MEDICAL CENTER,
,CITIZENS MEDICAL CENTER,
,DETAR HOSPITAL NAVARRO,
,MEDICAL CITY WEATHERFORD,
,KNAPP MEDICAL CENTER,
,KELL WEST REGIONAL HOSPITAL,
,MEDICAL CITY DALLAS HOSPITAL,
,METHODIST CHARLTON MEDICAL CENTER,
,CITY HOSPITAL AT WHITE ROCK,
,METHODIST DALLAS MEDICAL CENTER,
,CHRISTUS SPOHN HOSPITAL ALICE,
,PAM SPECIALTY HOSPITAL OF CORPUS CHRISTI SOUTH,
,UNITED MEMORIAL MEDICAL SYSTEMS,
,NORTH CENTRAL BAPTIST HOSPITAL,
,NORTHEAST BAPTIST HOSPITAL,
,CHRISTUS SOUTHEAST TEXAS - ST MARY,
,CATSKILL REGIONAL MEDICAL CENTER,
,FAYETTE COUNTY MEMORIAL HOSPITAL,
,CRYSTAL CLINIC ORTHOPAEDIC CENTER,
,NATIONWIDE CHILDREN'S HOSPITAL,
,OHIO HOSPITAL FOR PSYCHIATRY,
,COLEMAN COUNTY MEDICAL CENTER,
,ACCESS HOSPITAL DAYTON,
,DEL SOL MEDICAL CENTER A CAMPUS OF LPDS HEALTHCARE,
,SHRINERS HOSPITALS FOR CHILDREN - CINCINNATI,
,ARROWHEAD BEHAVIORAL HEALTH,
,RAINBOW BABIES AND CHILDRENS HOSPITAL,
,WALNUT HILL MEDICAL CENTER,
,UNIVERSITY GENERAL HOSPITAL DALLAS,
,CUERO COMMUNITY HOSPITAL,
,HOUSTON METHODIST SAN JACINTO HOSPITAL ALEXANDER CAMPUS,
,WOODS AT PARKSIDE,
,DAYTON CHILDREN'S HOSPITAL,
,PROVIDENCE HOSPITAL OF NORTH HOUSTON LLC,
,COVENANT MEDICAL CENTER - LAKESIDE,
,ESSENTIA HEALTH ST MARYS HSPTL SUPERIOR,
,FLAMBEAU HSPTL,
,FOND DU LAC CTY ACUTE PSYCH UNIT,
,VIBRA HOSPITAL OF BOISE,
,NELL J. REDFIELD MEMORIAL HOSPITAL,
,KINDRED HOSPITAL INDIANAPOLIS,
,LOGANSPORT STATE HOSPITAL,
,CHI HEALTH ST MARY'S,
,UNIVERSITY OF TEXAS MEDICAL BRANCH HOSPITAL,
,FORT MEMORIAL HEALTHCARE,
,MEMORIAL HERMANN SOUTHWEST HOSPITAL,
,CHICKASAW NATION MEDICAL CENTER,
,STANDING ROCK INDIAN HEALTH SERVICES HOSPITAL,
,FROEDTERT MEM LUTHERAN HSPTL,
,PINE RIDGE HOSPITAL,
,CLAREMORE HOSPITAL,
,WINNEBAGO HOSPITAL,
,COMMUNITY HOSPITAL ONAGA LTCU,
,GRISELL MEMORIAL HOSPITAL LTCU,
,KIOWA DISTRICT HOSPITAL,
,MS BAND OF CHOCTAW HOSPITAL,
,FROEDTERT SOUTH KENOSHA MEDICAL CENTER,
,FROEDTERT SOUTH ST CATHERINES MEDICAL CENTER,
,GRANT REG HLTH CTR,
,REYNOLDS ARMY COMMUNITY HOSPITAL,
,GUNDERSEN BOSCOBEL AREA HOSPITAL AND CLINICS,
,PHS INDIAN HOSPITAL AT BROWNING BLACKFEET,
,RICHARD L. ROUDEBUSH VA MEDICAL CENTER,
,MONCRIEF ARMY COMMUNITY HOSPITAL,
,KINDRED HOSPITAL HOUSTON MEDICAL CENTER,
,VA MEDICAL CENTER - MANCHESTER,
,CHI ST JOSEPH HEALTH MADISON HOSPITAL,
,GEORGE E. WAHLEN DEPARTMENT OF VETERANS AFFAIRS MEDICAL CENTER,
,VA MEDICAL CENTER - H.J. HEINZ CAMPUS,
,VA CENTRAL WESTERN MASSACHUSETTS HEALTHCARE SYSTEM,
,SCOTT COUNTY HOSPITAL,
,VA MEDICAL CENTER - CHEYENNE,
,VA MEDICAL CENTER - SHERIDAN,
,VA MEDICAL CENTER - VANCOUVER CAMPUS,
,VA MEDICAL CENTER - BROCKTON DIVISION,
,HUNTER HOLMES MCGUIRE VA MEDICAL CENTER,
,SELECT SPECIALTY HOSPITAL - DALLAS,
,SAINT ALPHONSUS EAGLE HEALTH PLZ-ER,
,UT HEALTH EAST TEXAS QUITMAN,
,HARDEMAN COUNTY MEMORIAL HOSPITAL,
,ROUND ROCK MEDICAL CENTER,
,MEMORIAL HOSPITAL,
,SHAMROCK GENERAL HOSPITAL,
,LIFECARE HOSPITALS OF FORT WORTH,
,KINDRED HOSPITAL - FORT WORTH,
,REGENCY HOSPITAL OF FORT WORTH,
,EL PASO CHILDREN'S HOSPITAL,
,OVERLOOK MEDICAL CENTER,
,KINDRED HOSPITAL EAST HOUSTON,
,BAYLOR SCOTT & WHITE SURGICAL HOSPITAL AT SHERMAN,
,BAYLOR SCOTT & WHITE HOSPITAL - TAYLOR,
,CHRISTUS MOTHER FRANCES HOSPITAL - SULPHUR SPRINGS,
,SOLARA HOSPITAL HARLINGEN,
,UNIVERSITY OF TEXAS HEALTH CENTER - TYLER,
,LAREDO SPECIALTY HOSPITAL,
,COVENANT SPECIALTY HOSPITAL,
,KINDRED HOSPITAL - MANSFIELD,
,UNITED REGIONAL HEALTH CARE SYSTEM,
,PAM SPECIALITY HOSPITAL OF NEW BRAUNFELS,
,MID-JEFFERSON EXTENDED CARE HOSPITAL,
,CORNERSTONE HOSPITAL OF HOUSTON - CLEAR LAKE,
,SOLARA HOSPITAL HARLINGEN,
,SPRING EXCELLENCE SURGICAL HOSPITAL LLC,
,HERMANN DRIVE SURGICAL HOSPITAL LP,
,CORNERSTONE HOSPITAL HOUSTON - BELLAIRE,
,KINDRED HOSPITAL TOWN & COUNTRY,
,NEXUS SPECIALTY HOSPITAL - THE WOODLANDS,
,AUSTIN VA OUTPATIENT CLINIC,
,THE CORPUS CHRISTI MEDICAL CENTER - DOCTORS REGIONAL,
,BAYLOR SCOTT & WHITE MCLANE CHILDREN'S MEDICAL CENTER,
,ADVENTHEALTH CENTRAL TEXAS,
,KINDRED HOSPITAL NORTH HOUSTON,
,CHRISTUS SPOHN HOSPITAL BEEVILLE,
,CHRISTUS SANTA ROSA HOSPITAL - WESTOVER HILLS,
,BAPTIST MEDICAL CENTER,
,KAISER FOUNDATION HOSPITAL,
,KONA COMMUNITY HOSPITAL,
,KUAKINI MEDICAL CENTER,
,SETON SHOAL CREEK HOSPITAL,
,AUSTIN LAKES HOSPITAL,
,HICKORY TRAIL HOSPITAL,
,UNIVERSITY BEHAVIORAL HEALTH OF DENTON,
,EL PASO BEHAVIORAL HEALTH SYSTEM,
,RIO GRANDE STATE CENTER,
,HOUSTON BEHAVIORAL HEALTHCARE HOSPITAL LLC,
,KERRVILLE STATE HOSPITAL,
,DEVEREUX TEXAS TREATMENT NETWORK,
,RIVER CREST HOSPITAL,
,LAUREL RIDGE TREATMENT CENTER,
,TERRELL STATE HOSPITAL,
,ASCENSION DEPAUL CENTER,
,LONE STAR BEHAVIORAL HEALTH CYPRESS,
,MONTGOMERY COUNTY MENTAL HEALTH TREATMENT FACILITY,
,MESA SPRINGS,
,OCEANS BEHAVIORAL HOSPITAL OF LUFKIN,
,ROCK PRAIRIE BEHAVIORAL HEALTH,
,HOPEBRIDGE HOSPITAL,
,HAVEN BEHAVIORAL HOSPITAL OF FRISCO,
,WELLBRIDGE HOSPITAL OF PLANO,
,SUNDANCE HOSPITAL DALLAS,
,TMC BEHAVIORAL HEALTH CENTER,
,JPS HEALTH NETWORK - TRINITY SPRINGS NORTH,
,WELLBRIDGE HOSPITAL OF FORT WORTH,
,CROSS CREEK HOSPITAL,
,GUNDERSEN LUTH MED CTR,
,MOLOKAI GENERAL HOSPITAL,
,KAPIOLANI MEDICAL CENTER,
,PALI MOMI MEDICAL CENTER,
,ST. DAVID'S REHABILITATION CENTER,
,HEALTHSOUTH REHABILITATION HOSPITAL OF AUSTIN,
,SELECT REHABILITATION HOSPITAL OF DENTON,
,HIGHLANDS REGIONAL REHABILITATION HOSPITAL,
,TIRR MEMORIAL HERMANN,
,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF MIDLAND/ODESSA,
,ENCOMPASS HEALTH HOSPITAL OF ROUND ROCK,
,WARM SPRINGS REHABILITATION HOSPITAL OF SAN ANTONIO,
,CHRISTUS ST. MICHAEL REHABILITATION HOSPITAL,
,UT HEALTH EAST TEXAS REHABILITATION HOSPITAL,
,BAYLOR INSTITUTE FOR REHABILITATION AT FORT WORTH,
,BAYLOR INSTITUTE FOR REHABILITATION AT FRISCO,
,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF CYPRESS,
,ENCOMPASS HEALTH REHABILITATION HOSPITAL THE VINTAGE,
,CULLMAN REGIONAL MEDICAL CENTER,
,WARM SPRINGS REHABILITATION HOSPITAL OF THOUSAND OAKS,
,CENTRAL TEXAS REHABILIATION HOSPITAL,
,TEXAS HEALTH HEART & VASCULAR HOSPITAL ARLINGTON,
,CHRISTUS SOUTHEAST TEXAS ORTHOPEDIC SPECIALTY CENTER,
,TEXAS ORTHOPEDIC HOSPITAL,
,BAYLOR SCOTT AND WHITE THE HEART HOSPITAL PLANO,
,TEXAS INSTITUTE FOR SURGERY AT TEXAS HEALTH PRESBYTERIAN DALLAS,
,THE CORPUS CHRISTI MEDICAL CENTER - THE HEART HOSPITAL,
,WISE HEALTH SURGECAL HOSPITAL,
,ST DAVIDS SURGICAL HOSPITAL A CAMPUS OF NORTH AUSTIN MEDICAL CTR,
,CURAHEALTH HOSPITAL OF TUCSON,
,PALO VERDE BEHAVIORAL HEALTH,
,NOLAND HOSPITAL SHELBY,
,ELIZA COFFEE MEMORIAL HOSPITAL,
,GUNDERSEN ST JOSEPHS HLTH SVCS,
,MARSHALL MEDICAL CENTER NORTH,
,CAVHCS WEST CAMPUS,
,DECATUR MORGAN HOSPITAL - PARKWAY CAMPUS,
,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF GADSDEN,
,FLOWERS HOSPITAL,
,DEKALB REGIONAL MEDICAL CENTER,
,RUSSELL HOSPITAL,
,GRANDVIEW MEDICAL CENTER,
,WAHIAWA GENERAL HOSPITAL,
,KAHI MOHALA,
,MEDICAL WEST,
,HILO MEDICAL CENTER,
,CHEROKEE MENTAL HEALTH INSTITUTE,
,SANFORD SHELDON MEDICAL CENTER,
,MERCY MEDICAL CENTER-CLINTON,
,CENTRAL COMMUNITY HOSPITAL,
,MARENGO MEMORIAL HOSPITAL,
,NORTH IOWA MEDICAL CENTER WEST CAMPUS,
,MENTAL HEALTH INSTITUTE,
,BEAR LAKE MEMORIAL HOSPITAL,
,NORTHWEST SPECIALTY HOSPITAL,
,GUNDERSEN TRI COUNTY MEM HSPTL,
,TREASURE VALLEY HOSPITAL,
,CHI HEALTH LAKESIDE,
,ANNA HOSPITAL CORPORATION - DBA UNION COUNTY HOSPITAL,
,GOTTLEB CO HEALTH SERVICES CORPORATION DBA MACNEAL HOSPITAL,
,COMMUNITY FIRST HEALTHCARE OF ILLINOIS DBA MEDICAL CENTER,
,VIBRA HOSPITAL OF SAN DIEGO,
,ALHAMBRA HOSPITAL,
,SAN RAMON REGIONAL MEDICAL CENTER,
,LOMPOC VALLEY MEDICAL CENTER COMPREHENSIVE CARE CENTER D/P S,
,BETHESDA REHABILITATION HOSPITAL,
,SAGE REHABILITATION INSTITUTE,
,STERLINGTON REHABILITATION HOSPITAL,
,NAVAL HOSPITAL LEMOORE,
,LOS ANGELES AMBULATORY CARE CENTER,
,EXODUS RECOVERY PHF,
,UNIVERSITY MEDICAL CENTER NEW ORLEANS,
,LOMA LINDA UNIVERSITY BEHAVIORAL MEDICINE CENTER,
,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER,
,VA MEDICAL CENTER - PALO ALTO DIVISION,
,JEWISH HOME,
,KAISER FND HOSP - SAN FRANCISCO,
,ADVENTIST MEDICAL CENTER HANFORD,
,FRENCH HOSPITAL MEDICAL CENTER,
,VA MEDICAL CENTER - MENLO PARK DIVISION,
,COMMUNITY MEMORIAL HOSPITAL-SAN BUENAVENTURA,
,OJAI VALLEY COMMUNITY HOSPITAL,
,SANTA ROSA MEMORIAL HOSPITAL-SOTOYOME,
,SUTTER MEDICAL CENTER OF SANTA ROSA,
,SANTA YNEZ VALLEY COTTAGE HOSPITAL,
,ADVENTIST HEALTH ST. HELENA HOSPITAL,
,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,
,THUNDER ROAD CHEMICAL DEPENDENCY RECOVERY HOSPITAL,
,VALLEYCARE MEDICAL CENTER,
,DAMERON HOSPITAL,
,BANNER LASSEN MEDICAL CENTER,
,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,
,GLENDALE ADVENTIST MEDICAL CENTER - WILSON TERRACE,
,KAISER PERMANENTE BALDWIN PARK MEDICAL CENTER,
,KAISER FND HOSP - MENTAL HEALTH CENTER,
,MOTION PICTURE AND TELEVISION HOSPITAL,
,NORWALK COMMUNITY HOSPITAL,
,MADERA COMMUNITY HOSPITAL,
,EL CAMINO HOSPITAL,
,KAISER PERMANENTE P.H.F - SANTA CLARA,
,ST. LOUISE REGIONAL HOSPITAL,
,DOMINICAN HOSPITAL-SANTA CRUZ/FREDERICK,
,SUTTER MATERNITY AND SURGERY CENTER OF SANTA CRUZ,
,WATSONVILLE COMMUNITY HOSPITAL,
,BURLINGAME HEALTH CARE CENTER D/P SNF,
,MILLS-PENINSULA MEDICAL CENTER,
,SEQUOIA HOSPITAL,
,SETON MEDICAL CENTER,
,SETON MEDICAL CENTER - COASTSIDE,
,NOVATO COMMUNITY HOSPITAL,
,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO,
,ST. AGNES MEDICAL CENTER,
,KAISER FND HOSP - RICHMOND CAMPUS,
,KAISER FND HOSP - WALNUT CREEK,
,KAISER FOUND HSP-ANTIOCH,
,BAKERSFIELD MEMORIAL HOSPITAL- 34TH STREET,
,RIDGECREST REGIONAL HOSPITAL,
,MERCY GENERAL HOSPITAL,
,SHRINERS HOSPITALS FOR CHILDREN NORTHERN CALIF.,
,ST. JOSEPH HOSPITAL - EUREKA,
,HOAG HOSPITAL IRVINE,
,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,
,KAISER FND HOSP - ORANGE CO IRVINE,
,ST. JOSEPH HOSPITAL - ORANGE,
,NORTHSIDE HOSPITAL GWINNETT,
,EMORY JOHNS CREEK HOSPITAL,
,SOUTHERN CRESCENT HOSPITAL FOR SPECIALTY CARE,
,JASPER MEMORIAL HOSPITAL,
,EMORY LONG TERM CARE,
,OCHSNER MEDICAL CENTER-WEST BANK,
,WEST CARROLL MEMORIAL HOSPITAL,
,WK BOSSIER HEALTH CENTER,
,ACADIA-ST. LANDRY HOSPITAL,
,OCHSNER MEDICAL CENTER-NORTH SHORE,
,JENNINGS AMERICAN LEGION HOSPITAL,
,ST. MARTIN HOSPITAL,
,WILLIS-KNIGHTON MEDICAL CENTER,
,SACRED HEART HSPTL,
,UPLAND HILLS HLTH,
,RICHLAND HSPTL,
,ST JOSEPHS COMMUNITY HOSPITAL OF WEST BEND INC,
,THEDACARE MEDICAL CENTER WILD ROSE COM MEM HOSPITAL INC,
,MONTCLAIR HOSPITAL MEDICAL CENTER,
,USC VERDUGO HILLS HOSPITAL,
,CHILDRENS HEALTHCARE OF ATLANTA AT SCOTTISH RITE,
,EMORY DECATUR HOSPITAL,
,ROGERS MEMORIAL HOSPITAL BROWN DEER,
,RIDGECREST REGIONAL HOSPITAL TRANSITIONAL CARE & REHABILITATION,
,MEDSTAR WASHINGTON HOSPITAL CENTER,
,GEORGE WASHINGTON UNIVERSITY HOSPITAL,
,HAYWARD AREA MEMORIAL HOSPITAL,
,BETHESDA HOSPITAL WEST,
,BAYFRONT HEALTH BROOKSVILLE,
,96TH MEDICAL GROUP-EGLIN HOSPITAL,
,CHILDRENS HOSPITAL COLORADO SOUTH CAMPUS,
,LARKIN COMMUNITY HOSPITAL PALM SPRINGS CAMPUS,
,UF HEALTH JACKSONVILLE,
,LEESBURG REHABILITATION HOSPITAL,
,FRANCISCAN CHILDREN'S HOSPITAL & REHAB CENTER,
,AVERA HOLY FAMILY HOSPITAL,
,MERCY MEDICAL CENTER-DYERSVILLE,
,FLOYD COUNTY MEMORIAL HOSPITAL,
,ASPIRE HEALTH PARTNERS INC,
,BAYFRONT HEALTH PUNTA GORDA,
,ST JOSEPH'S HOSPITAL SOUTH,
,ADVENTHEALTH WESLEY CHAPEL,
,UNIVERSITY OF MIAMI HOSPITAL AND CLINICS,
,NORTH TAMPA BEHAVIORAL HEALTH,
,WINTER HAVEN WOMEN'S HOSPITAL,
,FORT MADISON COMMUNITY HOSPITAL,
,STORY COUNTY HOSPITAL NORTH,
,STORY CITY MEMORIAL HOSPITAL,
,TRINITY REGIONAL HOSPITAL,
,HANSEN FAMILY HOSPITAL,
,JONES REGIONAL MEDICAL CENTER,
,PELLA REGIONAL HEALTH CENTER,
,SIOUX CENTER HEALTH,
,CARIBOU MEMORIAL HOSPITAL AND LIVING CENTER,
,ST. LUKE'S ELMORE,
,MERIDIAN SERVICES CORP,
,SPAULDING HOSPITAL FOR CONTINUING MED CARE CAMBRIDGE,
,WESTERN MASSACHUSETTS HOSPITAL,
,ELLINWOOD DISTRICT HOSPITAL,
,HORTON COMMUNITY HOSPITAL,
,KINGMAN COMMUNITY HOSPITAL,
,SELECT SPECIALTY HOSPITAL OF KS CITY,
,STEVENS COUNTY HOSPITAL,
,SUSAN B ALLEN MEMORIAL HOSPITAL,
,JOHNS HOPKINS HOSPITAL,
,DE QUEEN MEDICAL CENTER,
,VALLEY BEHAVIORAL HEALTH SYSTEM,
,HOLY FAMILY MEMORIAL INC,
,RIVENDELL BEHAVIORAL HEALTH SERVICES,
,ST. BERNARDS BEHAVIORAL HEALTH,
,ST. BERNARDS MEDICAL CENTER,
,ASHLEY COUNTY MEDICAL CENTER,
,GREAT RIVER MEDICAL CENTER,
,NATIONAL PARK MEDICAL CENTER,
,HOWARD YOUNG MED CTR,
,LITTLE RIVER MEMORIAL HOSPITAL,
,HSHS ST CLARE MEMORIAL HOSPITAL,
,MERCY ORTHOPEDIC HOSPITAL FORT SMITH,
,NORTHWEST MED CENTER,
,PARKWAY REGIONAL HOSPITAL,
,HARDIN MEMORIAL HOSPITAL,
,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF NORTHERN KENTUCKY,
,OHIO COUNTY HOSPITAL,
,NORTHWEST HEALTH PHYSICIANS' SPECIALTY HOSPITAL,
,ARKANSAS VALLEY REGIONAL MEDICAL CENTER,
,UNIVERSITY OF COLORADO HEALTH AT MEMORIAL HOSPITAL CENTRAL,
,MCLEAN HOSPITAL CORPORATION,
,PAPPAS REHABILITATION HOSPITAL FOR CHILDREN,
,UNIV OF MD REHABILITATION & ORTHOPAEDIC INSTITUTE,
,UNIVERSITY OF M D UPPER CHESAPEAKE MEDICAL CENTER,
,EDWARD MCCREADY MEMORIAL HOSPITAL,
,ENCOMPASS HEALTH REHAB HOSPITAL OF SALISBURY,
,NORTHERN LIGHT HEALTH,
,VA MEDICAL CENTER - BATTLE CREEK,
,SHERIDAN COMMUNITY HOSPITAL,
,MACKINAC STRAITS HOSPITAL AND HEALTH CENTER,
,PROMEDICA BIXBY HOSPITAL,
,SPARROW HEALTH SYSTEM-ST LAWRENCE CAMPUS,
,ASCENSION STANDISH COMMUNITY HOSPITAL,
,NORTH OTTAWA COMMUNITY HOSPITAL,
,STRAITH HOSPITAL FOR SPECIAL SURGERY,
,OAKLAND REGIONAL HOSPITAL,
,LAKELAND HOSPITAL,
,LAKELAND HOSPITAL,
,COMMUNITY HEALTH CENTER OF BRANCH COUNTY,
,BRONSON BATTLE CREEK HOSPITAL,
,MEMORIAL HEALTHCARE,
,HILLS & DALES GENERAL HOSPITAL,
,ST JOSEPH MERCY HOSPITAL,
,ST JOSEPH MERCY CHELSEA,
,MCLAREN GREATER LANSING,
,BEAUMONT HOSPITAL DEARBORN,
,SINAI-GRACE HOSPITAL,
,BEAUMONT HOSPITAL GROSSE POINTE,
,HARPER UNIVERSITY HOSPITAL,
,METRO HEALTH HOSPITAL,
,ASPIRUS IRON RIVER HOSPITAL & CLINICS,
,BELL MEMORIAL HOSPITAL,
,PROVIDENCE - PARK HOSPITAL,
,KINDRED HOSPITAL DETROIT,
,NORTH SHORE HEALTH,
,MCLAREN NORTHERN MICHIGAN,
,TRACE REGIONAL HOSPITAL,
,ALBANY AREA HOSPITAL & MED CTR,
,DEER RIVER HEALTH CARE CENTER,
,ALOMERE HEALTH,
,HEALTHEAST BETHESDA HOSPITAL,
,HEALTHEAST ST JOHNS HOSPITAL,
,LAKESIDE MEDICAL CENTER,
,NORTH VALLEY HEALTH CENTER,
,SANFORD MED CTR THIEF RVR FALL,
,SANFORD WORTHINGTON MEDICAL CE,
,WINDOM AREA HOSPITAL,
,MERCY HOSPITAL JOPLIN,
,KINDRED HOSPITAL - KANSAS CITY,
,TWO RIVERS BEHAVIORAL HEALTH SYSTEM,
,HEARTLAND BEHAVIORAL HEALTH SERVICES,
,LONG TERM ACUTE CARE HOSPITAL MOSAIC LIFE CARE AT ST. JOSEPH,
,MERCY HOSPITAL ST. LOUIS,
,MERCY HOSPITAL SPRINGFIELD,
,VA MEDICAL CENTER - JEFFERSON BARRACKS DIVISION,
,GOLDEN VALLEY MEMORIAL HOSPITAL,
,SWEDISH COVENANT HOSPITAL,
,PINNACLE REGIONAL HOSPITAL,
,SSM HEALTH DEPAUL HEALTH CENTER,
,HAWTHORN CHILDREN'S PSYCHIATRIC HOSPITAL,
,VERDE VALLEY MEDICAL CENTER - SEDONA CAMPUS,
,SIGNATURE PSYCHIATRIC HOSPITAL,
,BILLINGS CLINIC,
,BAYHEALTH HOSPITAL SUSSEX CAMPUS,
,BAPTIST MEDICAL CENTER YAZOO,
,FRANKLIN COUNTY MEMORIAL HOSPITAL,
,TRIPLER ARMY MEDICAL CENTER,
,INDIANHEAD MED CTR,
,LADD MEMORIAL HOSPITAL,
,LAKEVIEW SPECIALTY HOSPITAL & REHAB CENTER,
,LIBERTAS GREEN BAY,
,MARSHFEILD MEDICAL CENTER,
,MARSHFIELD MED CENTER - RICE LAKE,
,GREENWOOD LEFLORE HOSPITAL,
,FIELDSTONE CENTER,
,BROADWATER HEALTH CENTER,
,ALLEGIANCE SPECIALTY HOSPITAL OF GREENVILLE,
,CHOCTAW REGIONAL MEDICAL CENTER,
,FIELD MEMORIAL COMMUNITY HOSPITAL,
,HIGHLAND COMMUNITY HOSPITAL,
,NOVANT HEALTH PRESPYTERIAN MEDICAL CENTER,
,VIDANT BEAUFORT HOSPITAL,
,VALDESE GENERAL HOSPITAL,
,VIDANTE EDGECOMBE HOSPITAL,
,ATRIUM HEALTH UNIVERSITY,
,BETSY JOHNSON HOSPITAL,
,HALIFAX REGIONAL MEDICAL CENTER,
,DUKE HEALTH RALEIGH HOSPITAL,
,CARTERET GENERAL HOSPITAL,
,FRYE REGIONAL MEDICAL CENTER,
,WAKEMED CARY HOSPITAL,
,RUTHERFORD HOSPITAL,
,SAMPSON REGIONAL MEDICAL CENTER,
,CALDWELL MEMORIAL HOSPITAL,
,DAVIE COUNTY HOSPITAL,
,HIGHSMITH-RAINEY MEMORIAL HOSPITAL,
,LEXINGTON MEMORIAL HOSPITAL,
,CAROLINA EAST HEALTH SYSTEM,
,ATRIUM HEALTH STANLY,
,GARRISON MEMORIAL HOSPITAL,
,CHI ST ALEXIUS HEALTH TURTLE LAKE,
,ALTRU REHABILITATION CENTER,
,ST LUKE'S HOSPITAL,
,FIRST CARE HEALTH CENTER,
,NELSON COUNTY HEALTH SYSTEM,
,RAULERSON HOSPITAL,
,ADVENTHEALTH APOPKA,
,ADAMS COUNTY REGIONAL MEDICAL CENTER,
,ORLANDO VETERANS AFFAIRS MEDICAL CENTER,
,ADVENTHEALTH CELEBRATION,
,OSCEOLA REGIONAL MEDICAL CENTER,
,CHI LISBON HEALTH,
,LEESBURG REGIONAL MEDICAL CENTER,
,CLEVELAND CLINIC INDIAN RIVER MEDICAL CENTER,
,LARGO MEDICAL CENTER - INDIAN ROCKS,
,MEASE DUNEDIN HOSPITAL,
,PALMS OF PASADENA HOSPITAL,
,WINDMOOR HEALTHCARE OF CLEARWATER,
,ADVENTHEALTH LAKE PLACID,
,HIGHLANDS REGIONAL MEDICAL CENTER,
,KINDRED HOSPITAL-BAY AREA-TAMPA,
,MEMORIAL HOSPITAL OF TAMPA,
,OREGON STATE HOSPITAL PORTLAND,
,TAMPA GENERAL HOSPITAL,
,HENDRY REGIONAL MEDICAL CENTER,
,NORTHEAST REHABILITATION HOSPITAL AT PEASE,
,KINDRED HOSPITAL LIMA,
,TAMPA COMMUNITY HOSPITAL,
,COMPLEX CARE HOSPITAL AT RIDGELAKE,
,SARASOTA MEMORIAL HOSPITAL,
,CENTRAL FLORIDA REGIONAL HOSPITAL,
,ORLANDO HEALTH SOUTH SEMINOLE HOSPITAL,
,HEALTHPARK MEDICAL CENTER,
,LEE MEMORIAL HOSPITAL,
,HALIFAX HEALTH MEDICAL CENTER,
,HALIFAX HEALTH MEDICAL CENTER- PORT ORANGE,
,REGIONAL MEDICAL CENTER BAYONET POINT,
,HEART OF FLORIDA REGIONAL MEDICAL CENTER,
,LAKELAND REGIONAL MEDICAL CENTER,
,WINTER HAVEN HOSPITAL,
,CIRCLES OF CARE,
,HOLMES REGIONAL MEDICAL CENTER,
,PARRISH MEDICAL CENTER,
,BROWARD HEALTH CORAL SPRINGS,
,BROWARD HEALTH NORTH,
,CLEVELAND CLINIC HOSPITAL,
,FORT LAUDERDALE HOSPITAL,
,KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE,
,MEMORIAL HOSPITAL WEST,
,MEMORIAL REGIONAL HOSPITAL,
,NORTHWEST MEDICAL CENTER,
,SOUTH FLORIDA STATE HOSPITAL,
,ST ANTHONY'S REHABILITATION HOSPITAL,
,NORTHEAST REHABILITATION HOSPITAL,
,CITRUS MEMORIAL HOSPITAL,
,LOWER KEYS MEDICAL CENTER,
